loan_id,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
L_0000,2023-03-30,2023-03-30,0,360,330900.0,334757.65,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,>50%,2026-08-27,System3,Complete,0,0,0,0,Current,0,None
L_0000,2023-04-29,2023-03-30,1,359,330900.0,329563.01,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,0-10%,2026-08-27,System1,Complete,0,0,0,0,Current,0,None
L_0000,2023-05-29,2023-03-30,2,358,330900.0,331738.09,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,0-10%,2026-08-27,System2,Complete,0,0,0,0,Current,0,None
L_0000,2023-06-28,2023-03-30,3,357,330900.0,329555.12,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,25-50%,2026-08-27,System2,Complete,0,0,0,0,Current,0,None
L_0000,2023-07-28,2023-03-30,4,356,330900.0,331812.79,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,25-50%,2026-08-27,System2,Missing,0,0,0,0,Current,0,None
L_0000,2023-08-27,2023-03-30,5,355,330900.0,329196.0,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,25-50%,2026-08-27,System1,Complete,0,0,0,0,Current,0,None
L_0000,2023-09-26,2023-03-30,6,354,330900.0,330882.64,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,1,0,0,>50%,2026-08-27,System1,Complete,0,0,0,0,Current,0,None
L_0000,2023-10-26,2023-03-30,7,353,330900.0,321570.57,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,10-25%,2026-08-27,System2,Complete,0,0,0,0,Current,0,None
L_0000,2023-11-25,2023-03-30,8,352,330900.0,327137.0,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,0-10%,2026-08-27,System3,Complete,0,0,0,0,Current,0,None
L_0000,2023-12-25,2023-03-30,9,351,330900.0,318913.37,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,25-50%,2026-08-27,System2,Complete,0,0,0,0,Current,0,None
L_0000,2024-01-24,2023-03-30,10,350,330900.0,323758.72,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Current,0,0,0,0,25-50%,2026-08-27,System2,Complete,0,0,0,0,Current,0,None
L_0000,2024-02-23,2023-03-30,11,349,330900.0,321323.88,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,Prepaid,0,0,1,0,25-50%,2026-08-27,System1,Complete,0,0,0,0,Current,0,None
L_0001,2023-01-22,2023-01-22,0,360,763000.0,763457.29,2.96,760+,60-80%,<20%,FL,Refinance,Primary,Single Family,Servicer B,Current,0,0,0,0,10-25%,2026-08-27,System1,Complete,0,0,0,0,Current,0,None
L_0001,2023-02-21,2023-01-22,1,359,763000.0,763586.15,2.96,760+,60-80%,<20%,FL,Refinance,Primary,Single Family,Servicer B,Current,0,0,0,0,0-10%,2026-08-27,System3,Complete,0,0,0,0,Current,0,None
L_0001,2023-03-23,2023-01-22,2,358,763000.0,776571.78,2.96,760+,60-80%,<20%,FL,Refinance,Primary,Single Family,Servicer B,Current,0,0,0,0,25-50%,2026-08-27,System2,Complete,0,0,0,0,Current,0,None
L_0001,2023-04-22,2023-01-22,3,357,763000.0,748635.59,2.96,760+,60-80%,<20%,FL,Refinance,Primary,Single Family,Servicer B,Current,0,0,0,0,25-50%,2026-08-27,System3,Complete,0,1,0,0,Current,0,None
L_0001,2023-05-22,2023-01-22,4,356,763000.0,748149.12,2.96,760+,60-80%,<20%,FL,Refinance,Primary,Single Family,Servicer B,Current,0,0,0,0,0-10%,2026-08-27,System3,Complete,0,0,0,0,Current,0,None
