loan_id,current_balance,current_status,last_updated_at,source_system
L_0110,506656.25,Current,2026-08-27,ServicerPortal
L_0198,553102.15,Current,2026-08-27,ServicerPortal
L_0050,233272.91,30 Days Delinquent,2026-08-27,ServicerPortal
L_0171,237127.8,30 Days Delinquent,2026-08-27,ServicerPortal
L_0058,638912.65,Prepaid,2026-08-27,ServicerPortal
L_0008,283890.82,Prepaid,2026-08-27,ServicerPortal
L_0173,90960.0,Prepaid,2026-08-27,ServicerPortal
L_0007,440387.86,Prepaid,2026-08-27,ServicerPortal
L_0185,131131.48,Current,2026-08-27,ServicerPortal
L_0161,567787.56,Prepaid,2026-08-27,ServicerPortal
L_0105,467135.19,30 Days Delinquent,2026-08-27,ServicerPortal
L_0187,618572.23,30 Days Delinquent,2026-08-27,ServicerPortal
L_0048,560144.21,30 Days Delinquent,2026-08-27,ServicerPortal
L_0061,122873.87,Prepaid,2026-08-27,ServicerPortal
L_0030,297695.94,Current,2026-08-27,ServicerPortal
L_0093,553464.16,Current,2026-08-27,ServicerPortal
L_0165,321271.96,Prepaid,2026-08-27,ServicerPortal
L_0172,682037.57,Prepaid,2026-08-27,ServicerPortal
L_0040,528231.29,30 Days Delinquent,2026-08-27,ServicerPortal
L_0107,60074.95,30 Days Delinquent,2026-08-27,ServicerPortal
